Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-18deg1-2deg2_13	1000	100	IGF1;S100P;ATM	0.244514	0.000000	0.636149	0.000000	0.244514	0.000000	0.290323	0.867704	0.000000	0.000000	0.169291857383472
30deg0-18deg1-2deg2_18	100000	1000	IGF1;S100P;ATM	0.244514	0.000000	0.636143	0.000000	0.244514	0.000000	0.290323	0.867704	0.000000	0.000000	0.169291857383472
30deg0-8deg1-8deg2_13	1000	100	REEP1;MRPS12;PDZD3;DKK2	0.291536	0.000000	0.611338	0.008668	0.291536	0.000000	0.403226	0.782101	0.000000	0.000000	0.168488404125001
30deg0-8deg1-8deg2_18	100000	1000	REEP1;MRPS12;PDZD3;DKK2	0.291536	0.000000	0.611242	0.008658	0.291536	0.000000	0.403226	0.782101	0.000000	0.000000	0.168488404125001
30deg0-20deg1-2deg2_5	10000	1	OLFML2B;MRTO4;BUB1	0.191223	0.000000	0.644041	0.000009	0.191223	0.000000	0.096774	0.980545	0.000000	0.000000	0.167678893643617
30deg0-6deg1-6deg2_14	10000	100	ELN;MPST	0.191223	0.000000	0.607823	0.010172	0.191223	0.000000	0.096774	0.980545	0.000000	0.000000	0.167678893643617
30deg0-8deg1-0deg2_19	10000	10000	ELN;C1QA;IL12A;ITIH4	0.187774	0.001649	0.635832	0.007538	0.187774	0.001649	0.062903	0.992996	0.010328	0.000778	0.166973786621571
30deg0-8deg1-6deg2_16	1000	1000	MT1H;MCTP2;PKNOX1;RPH3AL	0.188088	0.000000	0.579506	0.006882	0.188088	0.000000	0.064516	0.992218	0.000000	0.000000	0.165256756163908
30deg0-20deg1-6deg2_17	10000	1000	CYP2B6;DUSP11;KIF14	0.531034	0.013793	10.194118	1.485633	0.531034	0.013793	0.277419	0.515175	0.098925	0.006744	-0.165163374366586
30deg0-14deg1-6deg2_3	100	1	CBR3	0.515987	0.014653	0.825002	0.015029	0.515987	0.014653	0.259677	0.538132	0.015292	0.021843	-0.161969949205292
30deg0-18deg1-8deg2_13	1000	100	CFD	0.785893	0.002646	0.911735	0.025002	0.785893	0.002646	0.814516	0.069261	0.005509	0.004134	-0.159237688179922
30deg0-20deg1-0deg2_13	1000	100	CFD	0.785893	0.002646	0.911735	0.025002	0.785893	0.002646	0.814516	0.069261	0.005509	0.004134	-0.159237688179922
30deg0-20deg1-0deg2_18	100000	1000	CFD	0.785893	0.002646	0.911946	0.025059	0.785893	0.002646	0.814516	0.069261	0.005509	0.004134	-0.159237688179922
30deg0-14deg1-4deg2_10	10000	10	LCN2	0.237304	0.009347	0.929249	0.091394	0.237304	0.009347	0.254839	0.885214	0.023037	0.016734	0.158769926139668
30deg0-14deg1-0deg2_10	10000	10	HMGA1	0.783699	0.000000	5.317715	0.242310	0.783699	0.000000	0.808065	0.073541	0.001613	0.000389	-0.158624296683895
30deg0-18deg1-8deg2_7	10	10	CFD	0.784953	0.002202	0.902607	0.022724	0.784953	0.002202	0.814516	0.070428	0.005509	0.003643	-0.156919361583032
30deg0-0deg1-0deg2_21	100000	100000	MAPT	0.189969	0.000693	0.486708	0.004225	0.189969	0.000693	0.070968	0.988327	0.003566	0.000000	0.155871442417176
30deg0-14deg1-6deg2_18	100000	1000	ZMYND10	0.718495	0.017067	0.759399	0.009064	0.718495	0.017067	0.640323	0.194942	0.050495	0.033075	-0.155626060299913
30deg0-18deg1-8deg2_14	10000	100	CFD	0.791850	0.001632	1.355660	0.118119	0.791850	0.001632	0.840323	0.055642	0.017742	0.006222	-0.155478634909807
30deg0-14deg1-6deg2_16	1000	1000	ZMYND10	0.753918	0.002484	0.983735	0.029200	0.753918	0.002484	0.727419	0.129961	0.012597	0.005570	-0.154854922894018
30deg0-8deg1-8deg2_2	10	1	IRF5	0.327586	0.001258	0.628855	0.003436	0.327586	0.001258	0.035484	0.826070	0.003226	0.001646	-0.15470062125355
30deg0-10deg1-4deg2_7	10	10	RPH3AL;BIRC3;ITIH4;EVI2A	0.608464	0.021217	0.726229	0.004127	0.608464	0.021217	0.429032	0.382490	0.058065	0.040341	-0.151154013158573
30deg0-8deg1-10deg2_15	100000	100	DCHS2;BMP2K;TLE1;MAPT	0.270219	0.010031	0.603060	0.005162	0.270219	0.010031	0.324194	0.827626	0.050000	0.024514	0.149664532143834
30deg0-12deg1-4deg2_21	100000	100000	MCTP2;TLE1;HMG20B;DDR2	0.532915	0.000000	0.946329	0.040858	0.532915	0.000000	0.790323	0.389105	0.000000	0.000000	0.148449871615332
30deg0-10deg1-4deg2_1	1	1	SIDT1	0.791223	0.003686	0.829439	0.017733	0.791223	0.003686	0.848387	0.054475	0.043492	0.014902	-0.147431650708887
30deg0-14deg1-4deg2_4	1000	1	E2F5	0.620690	0.003064	1.545097	0.054269	0.620690	0.003064	0.900000	0.253696	0.003226	0.004410	0.145915296625725
30deg0-16deg1-0deg2_4	1000	1	E2F5	0.620690	0.003064	1.545097	0.054269	0.620690	0.003064	0.900000	0.253696	0.003226	0.004410	0.145915296625725
30deg0-2deg1-0deg2_4	1000	1	E2F5	0.620690	0.003064	1.545097	0.054269	0.620690	0.003064	0.900000	0.253696	0.003226	0.004410	0.145915296625725
30deg0-18deg1-2deg2_10	10000	10	CBR1;ZNF668	0.686520	0.000000	0.758495	0.000000	0.686520	0.000000	0.967742	0.155642	0.000000	0.000000	0.144396533097902
30deg0-14deg1-2deg2_19	10000	10000	GADD45G;NMT2;SLC7A2	0.742947	0.010449	0.787620	0.006126	0.742947	0.010449	0.716129	0.146304	0.047312	0.024384	-0.143902829722434
30deg0-16deg1-4deg2_10	10000	10	GADD45G	0.612226	0.011089	0.868528	0.011578	0.612226	0.011089	0.453226	0.371984	0.036182	0.022437	-0.140844393260681
30deg0-14deg1-0deg2_16	1000	1000	ETS2;E2F5	0.625078	0.020063	0.731946	0.003129	0.625078	0.020063	0.477419	0.350195	0.058065	0.038911	-0.140275505223237
30deg0-14deg1-0deg2_19	10000	10000	ETS2;E2F5	0.625078	0.020063	0.731937	0.003131	0.625078	0.020063	0.477419	0.350195	0.058065	0.038911	-0.140275505223237
30deg0-16deg1-6deg2_17	10000	1000	LHX2	0.737304	0.003128	0.880851	0.015963	0.737304	0.003128	0.708065	0.155253	0.016562	0.006068	-0.140229539275185
30deg0-18deg1-0deg2_13	1000	100	NGF;ELN;PRKCA;ATM	0.786834	0.002090	1.266533	0.016201	0.786834	0.002090	0.845161	0.060700	0.004301	0.003632	-0.138104066594155
30deg0-14deg1-6deg2_12	100	100	ZMYND10	0.729154	0.016850	0.753992	0.006887	0.729154	0.016850	0.693548	0.168872	0.048087	0.032166	-0.137245070161244
30deg0-16deg1-0deg2_8	100	10	PAX4;LAMB3;ACTN1;ITGB4	0.782445	0.001881	0.992397	0.035047	0.782445	0.001881	0.835484	0.068482	0.012903	0.005447	-0.134731854722184
30deg0-16deg1-6deg2_14	10000	100	FXYD1;EXT1;PAX2;BAK1	0.743574	0.021657	0.872727	0.044519	0.743574	0.021657	0.732258	0.141634	0.081366	0.046062	-0.134068417046035
30deg0-2deg1-0deg2_8	100	10	MAPT;IL12A	0.266458	0.000000	0.732801	0.000000	0.266458	0.000000	0.290323	0.840467	0.000000	0.000000	0.133298188194106
30deg0-14deg1-2deg2_16	1000	1000	GADD45G;NMT2;SLC7A2	0.750784	0.011971	0.792387	0.008078	0.750784	0.011971	0.751613	0.128016	0.054203	0.027935	-0.132882010434088
30deg0-14deg1-2deg2_20	100000	10000	GADD45G;NMT2;SLC7A2	0.750784	0.011971	0.792405	0.008039	0.750784	0.011971	0.751613	0.128016	0.054203	0.027935	-0.132882010434088
30deg0-16deg1-4deg2_12	100	100	ERCC2;KATNA1;NGF;MAPT	0.507837	0.071406	0.678525	0.013434	0.507837	0.071406	0.727419	0.435409	0.105777	0.111210	0.131319201605649
30deg0-16deg1-4deg2_17	10000	1000	ERCC2;KATNA1;NGF;MAPT	0.507837	0.071406	0.678423	0.013419	0.507837	0.071406	0.727419	0.435409	0.105777	0.111210	0.131319201605649
30deg0-14deg1-8deg2_14	10000	100	TGFBR3;PALM;CARD9;FAM134B	0.588401	0.024138	0.747338	0.002268	0.588401	0.024138	0.840323	0.308171	0.017742	0.034241	0.130967365879331
30deg0-20deg1-4deg2_4	1000	1	NMT2	0.657053	0.007864	0.859268	0.014744	0.657053	0.007864	0.922581	0.203113	0.010966	0.011899	0.129834115436447
30deg0-20deg1-0deg2_10	10000	10	CTGF;RPL18	0.210031	0.000000	0.621517	0.006288	0.210031	0.000000	0.129032	0.949416	0.000000	0.000000	0.125177366589836
30deg0-8deg1-10deg2_12	100	100	TBC1D9;E2F5	0.742006	0.060502	0.727260	0.010728	0.742006	0.060502	0.745161	0.140467	0.061290	0.089883	-0.122620017662564
30deg0-0deg1-0deg2_19	10000	10000	MAPT	0.202194	0.001496	0.481867	0.003572	0.202194	0.001496	0.096774	0.966926	0.000000	0.001857	0.121010792062145
30deg0-12deg1-0deg2_8	100	10	PRMT1;COL1A1	0.272727	0.000000	3.167049	0.000008	0.272727	0.000000	0.016129	0.898833	0.000000	0.000000	-0.120893441781117
30deg0-2deg1-0deg2_18	100000	1000	TLE1;DDR2;ITGBL1;FBN1	0.762382	0.021591	0.798521	0.015987	0.762382	0.021591	0.798387	0.102335	0.065461	0.041731	-0.120189079957755
30deg0-4deg1-0deg2_18	100000	1000	IL12A;MAPT;HNF4A	0.275862	0.000000	0.568261	0.004363	0.275862	0.000000	0.290323	0.828794	0.000000	0.000000	0.119117023324037
30deg0-14deg1-2deg2_12	100	100	GADD45G;NMT2	0.761755	0.014629	0.799925	0.015009	0.761755	0.014629	0.798387	0.103113	0.067204	0.034371	-0.118983596594153
30deg0-14deg1-2deg2_17	10000	1000	GADD45G;NMT2	0.761755	0.014629	0.799925	0.015008	0.761755	0.014629	0.798387	0.103113	0.067204	0.034371	-0.118983596594153
30deg0-16deg1-0deg2_17	10000	1000	MAPT	0.202821	0.001553	0.483057	0.003607	0.202821	0.001553	0.096774	0.966148	0.000000	0.001928	0.118756108013232
30deg0-4deg1-0deg2_12	100	100	MAPT	0.202821	0.001553	0.483060	0.003605	0.202821	0.001553	0.096774	0.966148	0.000000	0.001928	0.118756108013232
30deg0-4deg1-0deg2_16	1000	1000	MAPT	0.202821	0.001553	0.482949	0.003592	0.202821	0.001553	0.096774	0.966148	0.000000	0.001928	0.118756108013232
30deg0-4deg1-0deg2_17	10000	1000	MAPT	0.202821	0.001553	0.483057	0.003607	0.202821	0.001553	0.096774	0.966148	0.000000	0.001928	0.118756108013232
30deg0-16deg1-10deg2_6	100000	1	RHOH;EXT1	0.228213	0.003762	5.031726	0.194663	0.228213	0.003762	0.174194	0.915953	0.019355	0.009339	0.118087098201308
30deg0-16deg1-6deg2_10	10000	10	CFH;E2F5	0.410658	0.000000	0.986528	0.000000	0.410658	0.000000	0.177419	0.688716	0.000000	0.000000	-0.117311713372151
30deg0-0deg1-0deg2_8	100	10	MAPT	0.210345	0.000563	0.472751	0.001191	0.210345	0.000563	0.120968	0.950973	0.003607	0.000860	0.11715972509667
30deg0-10deg1-4deg2_8	100	10	MAPT	0.210345	0.000563	0.472751	0.001191	0.210345	0.000563	0.120968	0.950973	0.003607	0.000860	0.11715972509667
30deg0-18deg1-6deg2_21	100000	100000	TLR4;MRTO4;E2F5	0.658307	0.000000	1.018966	0.027860	0.658307	0.000000	0.580645	0.284047	0.000000	0.000000	-0.115732900107171
30deg0-8deg1-6deg2_13	1000	100	KCNK12;MT1H;GAA;GRIK3	0.683386	0.000000	0.750858	0.002889	0.683386	0.000000	0.935484	0.167315	0.000000	0.000000	0.114767287675565
30deg0-12deg1-6deg2_13	1000	100	ZNF668;HMG20B;CBR3	0.426646	0.019122	0.678893	0.004744	0.426646	0.019122	0.203226	0.662646	0.074194	0.041634	-0.114628395777221
30deg0-18deg1-2deg2_2	10	1	SOX2	0.650470	0.022334	0.734370	0.001497	0.650470	0.022334	0.567742	0.296887	0.055551	0.040913	-0.114533475424359
30deg0-10deg1-2deg2_1	1	1	KIF14	0.702508	0.029386	0.739809	0.001151	0.702508	0.029386	0.954839	0.138911	0.013770	0.039749	0.113877088466818
30deg0-4deg1-2deg2_19	10000	10000	SYNPO;E2F5;BMP2K	0.429467	0.000000	0.704469	0.001313	0.429467	0.000000	0.209677	0.657588	0.000000	0.000000	-0.112916937474968
30deg0-6deg1-0deg2_14	10000	100	ERCC2;E2F5;BMP2K;IL12A	0.429467	0.000000	0.715989	0.001686	0.429467	0.000000	0.209677	0.657588	0.000000	0.000000	-0.112916937474968
30deg0-10deg1-4deg2_2	10	1	KIF13B	0.639498	0.003882	1.629234	0.156989	0.639498	0.003882	0.550000	0.314786	0.001613	0.005038	-0.112863434394105
30deg0-6deg1-2deg2_8	100	10	CBR1;HRH4	0.673981	0.035834	0.692160	0.002047	0.673981	0.035834	0.922581	0.182101	0.021071	0.049562	0.112493929256375
30deg0-8deg1-4deg2_10	10000	10	TM4SF1	0.695298	0.003762	0.759347	0.001280	0.695298	0.003762	0.945161	0.150195	0.002634	0.005227	0.111595149484798
30deg0-18deg1-8deg2_11	100000	10	SGK1	0.675235	0.002482	3.678609	0.522332	0.675235	0.002482	0.922581	0.180545	0.005268	0.004069	0.111170655128185
30deg0-6deg1-0deg2_2	10	1	COL1A1	0.554545	0.001091	0.795140	0.010999	0.554545	0.001091	0.404839	0.455253	0.009451	0.003281	-0.110792945350317
30deg0-16deg1-4deg2_21	100000	100000	ERCC2;PLXNC1;MSX2;IGF1R	0.210031	0.000000	0.543380	0.009682	0.210031	0.000000	0.112903	0.953307	0.000000	0.000000	0.110700003632352
30deg0-10deg1-8deg2_8	100	10	EHD2	0.448903	0.001672	0.705569	0.000620	0.448903	0.001672	0.241935	0.625681	0.000000	0.002075	-0.109931659258463
30deg0-14deg1-6deg2_2	10	1	UPK1A	0.595611	0.004127	0.796365	0.003176	0.595611	0.004127	0.477419	0.386770	0.009972	0.007433	-0.109140708568605
30deg0-14deg1-0deg2_7	10	10	TLE1;ARHGEF1;BAK1	0.766144	0.007273	0.829963	0.015745	0.766144	0.007273	0.824194	0.091440	0.034126	0.017239	-0.107629892698976
30deg0-0deg1-0deg2_4	1000	1	MAPT	0.606270	0.037312	0.703244	0.008022	0.606270	0.037312	0.500000	0.368093	0.092810	0.068647	-0.106833450394549
30deg0-20deg1-0deg2_14	10000	100	ETS2;BUB1;CFD;BAK1;ATP5B	0.194357	0.002602	0.559227	0.017353	0.194357	0.002602	0.046774	0.988716	0.028189	0.009592	0.105110091510321
30deg0-8deg1-0deg2_4	1000	1	IRAK3;E2F5;CTGF	0.705329	0.000000	0.825241	0.000001	0.705329	0.000000	0.693548	0.198444	0.000000	0.000000	-0.103268850475891
30deg0-6deg1-2deg2_7	10	10	PRKCA	0.224138	0.001701	0.615020	0.002232	0.224138	0.001701	0.145161	0.928016	0.000000	0.002111	0.103169733948353
30deg0-8deg1-6deg2_10	10000	10	KIF1A	0.357994	0.001125	0.749994	0.008525	0.357994	0.001125	0.127419	0.766148	0.001613	0.001686	-0.102836557030817
30deg0-8deg1-10deg2_13	1000	100	WIPF1;HOXB8;SLC7A2	0.709718	0.026107	0.774833	0.007319	0.709718	0.026107	0.951613	0.130739	0.013169	0.035583	0.10225018373021
30deg0-8deg1-10deg2_18	100000	1000	WIPF1;HOXB8;SLC7A2	0.709718	0.026107	0.774936	0.007335	0.709718	0.026107	0.951613	0.130739	0.013169	0.035583	0.10225018373021
30deg0-8deg1-8deg2_14	10000	100	PDZD3;ONECUT2;SLC3A1	0.473354	0.000000	0.659954	0.003571	0.473354	0.000000	0.290323	0.583658	0.000000	0.000000	-0.102150997864538
30deg0-2deg1-0deg2_1	1	1	AGER	0.313166	0.006243	0.625475	0.005407	0.313166	0.006243	0.074194	0.834630	0.007679	0.009411	-0.101701517830729
30deg0-20deg1-2deg2_19	10000	10000	GNAI1;PRKCA;CD3EAP	0.304075	0.000000	0.615390	0.008612	0.304075	0.000000	0.064516	0.848249	0.000000	0.000000	-0.101079807755422
30deg0-18deg1-8deg2_15	100000	100	CFD	0.747649	0.043377	1.248582	0.112930	0.747649	0.043377	0.788710	0.122957	0.033871	0.062011	-0.100697574564371
30deg0-8deg1-2deg2_10	10000	10	CEACAM1	0.808150	0.000418	1.314914	0.091813	0.808150	0.000418	0.985484	0.000389	0.001613	0.000389	-0.100001466290381
30deg0-8deg1-8deg2_1	1	1	F13A1	0.718809	0.022581	0.717712	0.004771	0.718809	0.022581	0.727419	0.173541	0.064983	0.043647	-0.0993451580313774
30deg0-20deg1-0deg2_3	100	1	AGER	0.400000	0.043823	0.688924	0.007489	0.400000	0.043823	0.188710	0.699222	0.088573	0.075744	-0.0988746951261791
30deg0-0deg1-0deg2_7	10	10	MAPT	0.220063	0.002280	0.466164	0.000689	0.220063	0.002280	0.129032	0.936965	0.000000	0.002830	0.0986314348777386
30deg0-8deg1-2deg2_7	10	10	ELK3;FAM134B;FBN1	0.746082	0.000000	0.892218	0.006085	0.746082	0.000000	0.983871	0.077821	0.000000	0.000000	0.0984404351896945
30deg0-14deg1-6deg2_5	10000	1	FMO4;S100P	0.634169	0.033542	3.230320	0.463491	0.634169	0.033542	0.564516	0.317899	0.016129	0.045525	-0.0981702444260726
30deg0-14deg1-2deg2_8	100	10	C4BPA;ELK3;OSBPL9	0.231975	0.000000	0.577621	0.000000	0.231975	0.000000	0.000000	0.953307	0.000000	0.000000	-0.0971074651087966
30deg0-20deg1-2deg2_12	100	100	GNAI1;PRKCA;CD3EAP;THBS1	0.231975	0.000000	0.557053	0.004442	0.231975	0.000000	0.000000	0.953307	0.000000	0.000000	-0.0971074651087966
30deg0-20deg1-2deg2_17	10000	1000	GNAI1;PRKCA;CD3EAP;THBS1	0.231975	0.000000	0.557079	0.004436	0.231975	0.000000	0.000000	0.953307	0.000000	0.000000	-0.0971074651087966
30deg0-12deg1-6deg2_21	100000	100000	LMO3;TGFBR3	0.470219	0.000000	0.666700	0.001782	0.470219	0.000000	0.612903	0.509728	0.000000	0.000000	0.0970900879728889
30deg0-0deg1-0deg2_13	1000	100	MAPT	0.221003	0.002612	0.464443	0.000839	0.221003	0.002612	0.129032	0.935798	0.000000	0.003243	0.0963415357774265
30deg0-0deg1-0deg2_18	100000	1000	MAPT	0.221003	0.002612	0.464428	0.000840	0.221003	0.002612	0.129032	0.935798	0.000000	0.003243	0.0963415357774265
30deg0-16deg1-0deg2_18	100000	1000	MAPT	0.221003	0.002612	0.464428	0.000840	0.221003	0.002612	0.129032	0.935798	0.000000	0.003243	0.0963415357774265
30deg0-10deg1-6deg2_11	100000	10	SPINT1	0.760188	0.012206	0.749135	0.002991	0.760188	0.012206	0.824194	0.098833	0.044946	0.025903	-0.0959145131481857
30deg0-16deg1-10deg2_16	1000	1000	HMGA1;NGF;VEGFC	0.520376	0.049625	0.695764	0.006908	0.520376	0.049625	0.688710	0.429183	0.073797	0.077687	0.0949856352874635
30deg0-16deg1-10deg2_19	10000	10000	HMGA1;NGF;VEGFC	0.520376	0.049625	0.696051	0.006929	0.520376	0.049625	0.688710	0.429183	0.073797	0.077687	0.0949856352874635
30deg0-16deg1-10deg2_20	100000	10000	HMGA1;NGF;VEGFC	0.520376	0.049625	0.695763	0.006908	0.520376	0.049625	0.688710	0.429183	0.073797	0.077687	0.0949856352874635
30deg0-4deg1-0deg2_14	10000	100	ATP5B;FBN1;HNF4A	0.699060	0.000000	1.144046	0.000473	0.699060	0.000000	0.693548	0.206226	0.000000	0.000000	-0.0948697711963235
30deg0-0deg1-2deg2_2	10	1	GADD45G	0.700313	0.000836	0.796218	0.005519	0.700313	0.000836	0.696774	0.203891	0.006715	0.001189	-0.0944004483290334
30deg0-20deg1-2deg2_4	1000	1	QKI	0.333542	0.052643	0.677318	0.007317	0.333542	0.052643	0.367742	0.738521	0.074178	0.082753	0.0934340827620111
30deg0-16deg1-6deg2_12	100	100	REEP1;CD3EAP;PTGES3;ERCC2;HOXA3	0.216301	0.000000	0.510111	0.001780	0.216301	0.000000	0.112903	0.945525	0.000000	0.000000	0.0932320129978234
30deg0-16deg1-8deg2_19	10000	10000	POU6F1;SLC1A5;AXL;CARD9	0.648276	0.042619	0.709054	0.004630	0.648276	0.042619	0.867742	0.227237	0.055028	0.065453	0.0924716138770468
30deg0-8deg1-10deg2_14	10000	100	WIPF1;HOXB8;SLC7A2	0.725705	0.026646	0.760605	0.003337	0.725705	0.026646	0.959677	0.108949	0.013441	0.036316	0.0923482733210434
30deg0-6deg1-4deg2_15	100000	100	SV2A;OPCML	0.349530	0.017241	5.261187	0.223649	0.349530	0.017241	0.130645	0.775875	0.014516	0.024903	-0.0914703938283679
30deg0-18deg1-6deg2_3	100	1	CLEC4M	0.433856	0.003036	1.386633	0.435327	0.433856	0.003036	0.248387	0.642802	0.004301	0.004669	-0.0911538376426921
30deg0-18deg1-6deg2_11	100000	10	RFX4	0.270533	0.004207	1.586592	0.162025	0.270533	0.004207	0.038710	0.896109	0.004301	0.006222	-0.0895803544112432
30deg0-8deg1-4deg2_11	100000	10	TM4SF1	0.721003	0.004989	0.762623	0.001226	0.721003	0.004989	0.951613	0.116732	0.000000	0.006193	0.0888031724234923
30deg0-2deg1-2deg2_1	1	1	RCN3	0.447335	0.012661	0.682398	0.010838	0.447335	0.012661	0.272581	0.620233	0.022613	0.020923	-0.0884200901398128
30deg0-10deg1-10deg2_13	1000	100	LILRB5;OSBPL9;MRTO4;LAMA5	0.708777	0.045270	0.728462	0.004338	0.708777	0.045270	0.724194	0.186770	0.100911	0.079489	-0.0874191430302475
30deg0-10deg1-10deg2_18	100000	1000	LILRB5;OSBPL9;MRTO4;LAMA5	0.708777	0.045270	0.728469	0.004337	0.708777	0.045270	0.724194	0.186770	0.100911	0.079489	-0.0874191430302475
30deg0-10deg1-10deg2_16	1000	1000	GABBR2;SYT5;CPB2;S100P	0.805643	0.000000	0.877187	0.020101	0.805643	0.000000	0.967742	0.007782	0.000000	0.000000	-0.0870400609180182
30deg0-10deg1-10deg2_20	100000	10000	GABBR2;SYT5;CPB2;S100P	0.805643	0.000000	0.877199	0.020105	0.805643	0.000000	0.967742	0.007782	0.000000	0.000000	-0.0870400609180182
30deg0-10deg1-4deg2_16	1000	1000	NOX3;SYK;GADD45B;RPH3AL;ITGBL1	0.610345	0.050659	0.727808	0.002537	0.610345	0.050659	0.808065	0.288716	0.054799	0.075968	0.0862712757383825
30deg0-10deg1-4deg2_20	100000	10000	NOX3;SYK;GADD45B;RPH3AL;ITGBL1	0.610345	0.050659	0.727779	0.002554	0.610345	0.050659	0.808065	0.288716	0.054799	0.075968	0.0862712757383825
30deg0-8deg1-0deg2_2	10	1	CEACAM1	0.579310	0.004379	0.729872	0.001967	0.579310	0.004379	0.488710	0.404280	0.033059	0.012048	-0.0856559004807113
30deg0-16deg1-10deg2_14	10000	100	HMGA1;ADAM28	0.304075	0.000000	4.420326	0.004715	0.304075	0.000000	0.080645	0.844358	0.000000	0.000000	-0.0852559747036384
30deg0-4deg1-4deg2_10	10000	10	BMI1;NPY1R	0.612853	0.031699	1.351120	0.653178	0.612853	0.031699	0.809677	0.285214	0.076707	0.056512	0.0848999627976744
30deg0-10deg1-10deg2_19	10000	10000	GABBR2;SYT5;CPB2;S100P	0.805643	0.000000	0.839845	0.013917	0.805643	0.000000	0.969355	0.007393	0.001613	0.000389	-0.0848082938106766
30deg0-10deg1-4deg2_11	100000	10	COL1A1	0.696238	0.040609	0.727928	0.006760	0.696238	0.040609	0.703226	0.207393	0.108841	0.076529	-0.0847297652804
